NR,AR,AC15,AO15,AC15_rmse,AO15_rmse
38,0.325,0.4975,0.223333333,0,0
30.0,0.39372044006894547,0.3899962006846023,0.3887651641231671,0.10750379931539772,0.1654318311231671
31.0,0.40215675791443306,0.39325487081826865,0.39173116999435703,0.10424512918173134,0.16839783699435704
31.0,0.39367394918761456,0.3846742127268283,0.38571400696080654,0.11282578727317172,0.16238067396080655
31.0,0.39824789020993373,0.39361146645235645,0.38508838073425977,0.10388853354764355,0.16175504773425978
30.0,0.39372044006894547,0.3899962006846023,0.3887651641231671,0.10750379931539772,0.1654318311231671
31.0,0.39824789020993373,0.39361146645235645,0.38508838073425977,0.10388853354764355,0.16175504773425978
33.0,0.3683602915658646,0.3775643715620469,0.35849955482814794,0.11993562843795308,0.13516622182814794
35.0,0.35249142707803754,0.37012223049687004,0.3412036608026048,0.12737776950312996,0.11787032780260479
30.0,0.39372044006894547,0.3899962006846023,0.3887651641231671,0.10750379931539772,0.1654318311231671
