activation,optimizer,epochs,batch_size,learn_rate,out_dim1,out_dim2,out_dim3,out_dim4,CV_ACC,CV_STD
sigmoid,adamax,1500,32,0.0003,16,32,32,16,72.26132154464722,0.6585068058421194
sigmoid,adamax,1500,32,0.0004,16,32,32,16,71.23702049255371,1.8386317857914012
sigmoid,adamax,1500,32,0.0005,16,32,32,16,67.67265558242798,8.867958493056504
sigmoid,adamax,1500,32,0.0006,16,32,32,16,71.54813051223755,2.278679971845228
sigmoid,adamax,1500,32,0.0007,16,32,32,16,71.54882311820984,1.6547263149200602
sigmoid,adamax,1500,32,0.0008,16,32,32,16,68.12907695770264,9.150697188856798
sigmoid,adamax,1500,32,0.0009,16,32,32,16,71.99416041374207,1.3852905117297338
sigmoid,adamax,1500,32,0.001,16,32,32,16,67.58525133132935,8.65695462563396
sigmoid,adamax,1500,64,0.0003,16,32,32,16,69.2753279209137,9.618573864812719
sigmoid,adamax,1500,64,0.0004,16,32,32,16,72.17193841934204,3.08961604021421
sigmoid,adamax,1500,64,0.0005,16,32,32,16,72.17401623725891,1.5814540650359514
sigmoid,adamax,1500,64,0.0006,16,32,32,16,73.10636043548584,3.460951567514594
sigmoid,adamax,1500,64,0.0007,16,32,32,16,73.41855883598328,2.0878311617108425
sigmoid,adamax,1500,64,0.0008,16,32,32,16,69.27513003349304,9.788593936536262
sigmoid,adamax,1500,64,0.0009,16,32,32,16,68.42920064926147,9.559578775816162
sigmoid,adamax,1500,64,0.001,16,32,32,16,72.79544591903687,3.2944815781920975
sigmoid,adamax,1500,128,0.0003,16,32,32,16,73.19673418998718,2.3347531390069944
sigmoid,adamax,1500,128,0.0004,16,32,32,16,75.02241969108582,1.6364455486841918
sigmoid,adamax,1500,128,0.0005,16,32,32,16,74.62014317512512,4.004279870917978
sigmoid,adamax,1500,128,0.0006,16,32,32,16,73.64137530326843,1.1719042624120388
sigmoid,adamax,1500,128,0.0007,16,32,32,16,74.39900994300842,1.378464542888705
sigmoid,adamax,1500,128,0.0008,16,32,32,16,72.08294987678528,3.12937056371495
sigmoid,adamax,1500,128,0.0009,16,32,32,16,73.9981198310852,0.8408311283928841
sigmoid,adamax,1500,128,0.001,16,32,32,16,72.92986869812012,1.015443126837198
